TREE
ANIMAL
SCHOOL
WORD
COMPUTER
CALCULATOR
SUN
MOON
STUDENT
EASY
MAIN
CUP
OBTAIN
CUSTOM
CONCERN
CONDITION
CONFERENCE
DEATH
DEBATE
DECADE
DECIDE
DECISION
DEEP
EVERYBODY
EVERYONE
EVERYTHING
EVIDENCE
EXACTLY
EXAMPLE
EXECUTIVE

